Gregorian Date,Chinese year (Gan-Zhi),Chinese year (Zodiac),Lunar month,Lunar Date
1-Jan-25,甲辰年,龍,十二月,初二
2-Jan-25,甲辰年,龍,十二月,初三
3-Jan-25,甲辰年,龍,十二月,初四
4-Jan-25,甲辰年,龍,十二月,初五
5-Jan-25,甲辰年,龍,十二月,初六
6-Jan-25,甲辰年,龍,十二月,初七
7-Jan-25,甲辰年,龍,十二月,初八
8-Jan-25,甲辰年,龍,十二月,初九
9-Jan-25,甲辰年,龍,十二月,初十
10-Jan-25,甲辰年,龍,十二月,十一
11-Jan-25,甲辰年,龍,十二月,十二
12-Jan-25,甲辰年,龍,十二月,十三
13-Jan-25,甲辰年,龍,十二月,十四
14-Jan-25,甲辰年,龍,十二月,十五
15-Jan-25,甲辰年,龍,十二月,十六
16-Jan-25,甲辰年,龍,十二月,十七
17-Jan-25,甲辰年,龍,十二月,十八
18-Jan-25,甲辰年,龍,十二月,十九
19-Jan-25,甲辰年,龍,十二月,二十
20-Jan-25,甲辰年,龍,十二月,廿一
21-Jan-25,甲辰年,龍,十二月,廿二
22-Jan-25,甲辰年,龍,十二月,廿三
23-Jan-25,甲辰年,龍,十二月,廿四
24-Jan-25,甲辰年,龍,十二月,廿五
25-Jan-25,甲辰年,龍,十二月,廿六
26-Jan-25,甲辰年,龍,十二月,廿七
27-Jan-25,甲辰年,龍,十二月,廿八
28-Jan-25,甲辰年,龍,十二月,廿九
29-Jan-25,乙巳年,蛇,正月,初一
30-Jan-25,乙巳年,蛇,正月,初二
31-Jan-25,乙巳年,蛇,正月,初三
1-Feb-25,乙巳年,蛇,正月,初四
2-Feb-25,乙巳年,蛇,正月,初五
3-Feb-25,乙巳年,蛇,正月,初六
4-Feb-25,乙巳年,蛇,正月,初七
5-Feb-25,乙巳年,蛇,正月,初八
6-Feb-25,乙巳年,蛇,正月,初九
7-Feb-25,乙巳年,蛇,正月,初十
8-Feb-25,乙巳年,蛇,正月,十一
9-Feb-25,乙巳年,蛇,正月,十二
10-Feb-25,乙巳年,蛇,正月,十三
11-Feb-25,乙巳年,蛇,正月,十四
12-Feb-25,乙巳年,蛇,正月,十五
13-Feb-25,乙巳年,蛇,正月,十六
14-Feb-25,乙巳年,蛇,正月,十七
15-Feb-25,乙巳年,蛇,正月,十八
16-Feb-25,乙巳年,蛇,正月,十九
17-Feb-25,乙巳年,蛇,正月,二十
18-Feb-25,乙巳年,蛇,正月,廿一
19-Feb-25,乙巳年,蛇,正月,廿二
20-Feb-25,乙巳年,蛇,正月,廿三
21-Feb-25,乙巳年,蛇,正月,廿四
22-Feb-25,乙巳年,蛇,正月,廿五
23-Feb-25,乙巳年,蛇,正月,廿六
24-Feb-25,乙巳年,蛇,正月,廿七
25-Feb-25,乙巳年,蛇,正月,廿八
26-Feb-25,乙巳年,蛇,正月,廿九
27-Feb-25,乙巳年,蛇,正月,三十
28-Feb-25,乙巳年,蛇,二月,初一
1-Mar-25,乙巳年,蛇,二月,初二
2-Mar-25,乙巳年,蛇,二月,初三
3-Mar-25,乙巳年,蛇,二月,初四
4-Mar-25,乙巳年,蛇,二月,初五
5-Mar-25,乙巳年,蛇,二月,初六
6-Mar-25,乙巳年,蛇,二月,初七
7-Mar-25,乙巳年,蛇,二月,初八
8-Mar-25,乙巳年,蛇,二月,初九
9-Mar-25,乙巳年,蛇,二月,初十
10-Mar-25,乙巳年,蛇,二月,十一
11-Mar-25,乙巳年,蛇,二月,十二
12-Mar-25,乙巳年,蛇,二月,十三
13-Mar-25,乙巳年,蛇,二月,十四
14-Mar-25,乙巳年,蛇,二月,十五
15-Mar-25,乙巳年,蛇,二月,十六
16-Mar-25,乙巳年,蛇,二月,十七
17-Mar-25,乙巳年,蛇,二月,十八
18-Mar-25,乙巳年,蛇,二月,十九
19-Mar-25,乙巳年,蛇,二月,二十
20-Mar-25,乙巳年,蛇,二月,廿一
21-Mar-25,乙巳年,蛇,二月,廿二
22-Mar-25,乙巳年,蛇,二月,廿三
23-Mar-25,乙巳年,蛇,二月,廿四
24-Mar-25,乙巳年,蛇,二月,廿五
25-Mar-25,乙巳年,蛇,二月,廿六
26-Mar-25,乙巳年,蛇,二月,廿七
27-Mar-25,乙巳年,蛇,二月,廿八
28-Mar-25,乙巳年,蛇,二月,廿九
29-Mar-25,乙巳年,蛇,三月,初一
30-Mar-25,乙巳年,蛇,三月,初二
31-Mar-25,乙巳年,蛇,三月,初三
1-Apr-25,乙巳年,蛇,三月,初四
2-Apr-25,乙巳年,蛇,三月,初五
3-Apr-25,乙巳年,蛇,三月,初六
4-Apr-25,乙巳年,蛇,三月,初七
5-Apr-25,乙巳年,蛇,三月,初八
6-Apr-25,乙巳年,蛇,三月,初九
7-Apr-25,乙巳年,蛇,三月,初十
8-Apr-25,乙巳年,蛇,三月,十一
9-Apr-25,乙巳年,蛇,三月,十二
10-Apr-25,乙巳年,蛇,三月,十三
11-Apr-25,乙巳年,蛇,三月,十四
12-Apr-25,乙巳年,蛇,三月,十五
13-Apr-25,乙巳年,蛇,三月,十六
14-Apr-25,乙巳年,蛇,三月,十七
15-Apr-25,乙巳年,蛇,三月,十八
16-Apr-25,乙巳年,蛇,三月,十九
17-Apr-25,乙巳年,蛇,三月,二十
18-Apr-25,乙巳年,蛇,三月,廿一
19-Apr-25,乙巳年,蛇,三月,廿二
20-Apr-25,乙巳年,蛇,三月,廿三
21-Apr-25,乙巳年,蛇,三月,廿四
22-Apr-25,乙巳年,蛇,三月,廿五
23-Apr-25,乙巳年,蛇,三月,廿六
24-Apr-25,乙巳年,蛇,三月,廿七
25-Apr-25,乙巳年,蛇,三月,廿八
26-Apr-25,乙巳年,蛇,三月,廿九
27-Apr-25,乙巳年,蛇,三月,三十
28-Apr-25,乙巳年,蛇,四月,初一
29-Apr-25,乙巳年,蛇,四月,初二
30-Apr-25,乙巳年,蛇,四月,初三
1-May-25,乙巳年,蛇,四月,初四
2-May-25,乙巳年,蛇,四月,初五
3-May-25,乙巳年,蛇,四月,初六
4-May-25,乙巳年,蛇,四月,初七
5-May-25,乙巳年,蛇,四月,初八
6-May-25,乙巳年,蛇,四月,初九
7-May-25,乙巳年,蛇,四月,初十
8-May-25,乙巳年,蛇,四月,十一
9-May-25,乙巳年,蛇,四月,十二
10-May-25,乙巳年,蛇,四月,十三
11-May-25,乙巳年,蛇,四月,十四
12-May-25,乙巳年,蛇,四月,十五
13-May-25,乙巳年,蛇,四月,十六
14-May-25,乙巳年,蛇,四月,十七
15-May-25,乙巳年,蛇,四月,十八
16-May-25,乙巳年,蛇,四月,十九
17-May-25,乙巳年,蛇,四月,二十
18-May-25,乙巳年,蛇,四月,廿一
19-May-25,乙巳年,蛇,四月,廿二
20-May-25,乙巳年,蛇,四月,廿三
21-May-25,乙巳年,蛇,四月,廿四
22-May-25,乙巳年,蛇,四月,廿五
23-May-25,乙巳年,蛇,四月,廿六
24-May-25,乙巳年,蛇,四月,廿七
25-May-25,乙巳年,蛇,四月,廿八
26-May-25,乙巳年,蛇,四月,廿九
27-May-25,乙巳年,蛇,五月,初一
28-May-25,乙巳年,蛇,五月,初二
29-May-25,乙巳年,蛇,五月,初三
30-May-25,乙巳年,蛇,五月,初四
31-May-25,乙巳年,蛇,五月,初五
1-Jun-25,乙巳年,蛇,五月,初六
2-Jun-25,乙巳年,蛇,五月,初七
3-Jun-25,乙巳年,蛇,五月,初八
4-Jun-25,乙巳年,蛇,五月,初九
5-Jun-25,乙巳年,蛇,五月,初十
6-Jun-25,乙巳年,蛇,五月,十一
